"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Jan., 1999"	"1999/01"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Feb., 1999"	"1999/02"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Mar., 1999"	"1999/03"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Apr., 1999"	"1999/04"	17	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"May, 1999"	"1999/05"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Jun., 1999"	"1999/06"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Jul., 1999"	"1999/07"	11	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Aug., 1999"	"1999/08"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Sep., 1999"	"1999/09"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Oct., 1999"	"1999/10"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Nov., 1999"	"1999/11"	16	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"1999"	"1999"	"Dec., 1999"	"1999/12"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jan., 2000"	"2000/01"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Feb., 2000"	"2000/02"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Mar., 2000"	"2000/03"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Apr., 2000"	"2000/04"	12	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"May, 2000"	"2000/05"	Suppressed	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"2000"	"2000"	"Jun., 2000"	"2000/06"	Suppressed	Not Applicable	Not Applicable	Not Applicable
